nbSyll;pron;origin;warning;remarques;POS;lineId;pageId
6;ăbŏʹmĭnāʹtion;L.;;;n.;4.0;20
4;ăborīʹgĭnes;L.;;;n.;5.0;20
4;ăbŏʹrtion;L.;;;n.;6.0;20
3;ăbŏʹrtive;;;;a.;7.0;20
2;ăbȯu̇ʹnd;;;;v.;8.0;20
2;abrĭʹdge;F.;;;v.;9.0;20
3;abrĭʹdgment;F.;;;n.;10.0;20
2;abroaʹd;;;;a.;11.0;20
3;ăʹbrŏgāte;L.;;;v.;12.0;20
2;ăbrŭpt;L.;nbSyll>1 et pas d'accent tonic;;a.;13.0;20
2;ăʹbſcĕſs;L.;;;n.;14.0;20
2;ăbſcŏʹnd;L.;;;v.;15.0;20
2;ăʹbſĕnt;L.;;;v.;16.0;20
3;ăbſĕnteeʹ;L.;;;n.;17.0;20
2;ăbſŏʹlve;L.;;;v.;18.0;20
3;ăʹbſŏlūte;L.;;;a.;19.0;20
5;ăbſŏlūʹtion;L.;;;n.;20.0;20
2;ăbſŏʹrb;L.;;;v.;21.0;20
3;ăbſŏʹrbents;;;;n.;22.0;20
2;ăbſtaiʹn;L.;;;v.;23.0;20
4;ăbſtēʹmĭous;L.;;;a.;24.0;20
3;ăbſtĕʹrgent;L.;;;n.;25.0;20
3;ăʹbſtĭnĕnce;L.;;;n.;26.0;20
2;ăbſtrăʹct;L.;;;v.;27.0;20
2;ăbſtrūʹſe;L.;;;a.;28.0;20
2;ăbſŭʹrd;L.;;;a.;29.0;20
3;abŭʹndănce;;;;n.;30.0;20
2;abūʹſe;L.;;;v.;31.0;20
2;ăbyʹſs;G.;;;n.;32.0;20
3;ăbyſſīʹnes;;;;n.;33.0;20
4;ăcăʹdĕmy;G.;;;n.;34.0;20
5;ăcănāʹce_o_us;G.;;;a.;35.0;20
2;ăccēʹde;L.;;;v.;36.0;20
4;ăccĕʹlĕrāte;L.;;;v.;37.0;20
2;ăcʹcĕnt;L.;;;n.;38.0;20
2;ăccĕʹpt;L.;;;v.;39.0;20
4;ăccĕʹptable;;;;a.;40.0;20
5;ăccĕptāʹtion;L.;;;n.;41.0;20
2;ăccĕʹſs;L.;;;n.;42.0;20
4;ăccĕʹſſĭble;;;;a.;43.0;20
4;ăccĕʹſſion;L.;;;n.;44.0;20
4;ăʹccĕſſāry;F.;;;n.;45.0;20
3;ăʹccĭdent;L.;;;n.;46.0;20
5;ăcclămāʹtion;L.;;;n.;47.0;20
3;ăccloʹyed;;;;a.;48.0;20
4;ăccŏʹmmodāte;L.;;;v.;49.0;20
4;ăccŏʹmpăny;F.;;;v.;50.0;20
3;ăccŏʹmpliſh;F.;;;v.;51.0;20
4;ăccŏʹmplĭſhed;;;;a.;52.0;20
3;ăccŏʹmplice;F.;;;n.;53.0;20
2;ăccoʹmpt;;;;v.;54.0;20
2;ăccoʹrd;F.;;;v.;55.0;20
2;ăccŏʹſt;F.;;;v.;56.0;20
2;ăccȯu̇ʹnt;F.;;;n.;57.0;20
4;ăccȯu̇ʹntable;;;;a.;58.0;20
3;ăccȯu̇ʹntănt;;;;n.;59.0;20
3;ăccȯu̇ʹtre;F.;;;v.;60.0;20
4;ăccȯu̇ʹtrements;F.;;;n.;61.0;20
2;ăccreʹw;F.;;;v.;62.0;20
4;ăccuʹmūlăte;L.;;;v.;63.0;20
4;ăʹccūracy;L.;;;n.;64.0;20
3;ăccŭʹrſed;;;;a.;65.0;20
2;ăccūʹſe;L.;;;v.;66.0;20
5;ăccūſāʹtion;L.;;;n.;67.0;20
4;ăccūʹſātive;;;;n.;68.0;20
3;ăccŭʹſtom;F.;;;v.;69.0;20
4;ace˘ʹrbĭty;L.;;;n.;70.0;20
3;ăc_h_āʹtes;G.;;;n.;71.0;20
1;āc_he_;;;;n.;72.0;20
3;ăʹc_h_ĕron;G.;;;n.;73.0;20
2;ăʹcid;L.;;;a.;2.0;21
2;ăʹcids;;;;n.;3.0;21
4;ăc_k_nŏ_w_lĕdgment;;nbSyll>1 et pas d'accent tonic;;n.;4.0;21
3;ăʹconīte;G.;;;n.;5.0;21
2;ăʹcorn;;;;n.;6.0;21
3;ăcȯu̇ʹſtics;G.;;;n.;7.0;21
2;ăcquaiʹnt;F.;;;v.;8.0;21
3;ăcquaĭʹntănce;;;;n.;9.0;21
3;acquĭe˘ʹſ_c__e_;L.;;;v.;10.0;21
2;ăcquīʹre;L.;;;v.;11.0;21
5;ăcquĭſĭʹtion;L.;;;n.;12.0;21
2;ăcquĭʹſts;;;;n.;13.0;21
2;ăcquĭʹt;F.;;;v.;14.0;21
3;ăcquĭʹttal;F.;;;n.;15.0;21
3;ăcquĭʹttănce;F.;;;n.;16.0;21
2;āʹcre;;;;n.;17.0;21
4;ăʹcrĭmony;L.;;;n.;18.0;21
4;ăcrōʹnical;;;;a.;19.0;21
3;ăcrŏʹſtic;G.;;;n.;20.0;21
1;ăct;L.;;;v.;21.0;21
3;ăʹction;L.;;;n.;22.0;21
5;ăʹctionable;;;;a.;23.0;21
2;ăʹctĭve;L.;;;a.;24.0;21
4;ăctĭʹvĭty;L.;;;n.;25.0;21
2;ăʹctor;L.;;;n.;26.0;21
2;ăʹctrĕſs;;;;n.;27.0;21
3;ăʹctūal;F.;;;a.;28.0;21
4;ăʹctūāry;L.;;;n.;29.0;21
3;ăʹctūāte;L.;;;v.;30.0;21
2;acūʹte;L.;;;a.;31.0;21
2;āʹdāge;L.;;;n.;32.0;21
4;adāʹgĭo;;;;a.;33.0;21
3;ăʹdămant;L.;;;n.;34.0;21
4;ădămăʹntĭne;L.;;;a.;35.0;21
3;aʹdămītes;;;;n.;36.0;21
2;adăʹpt;L.;;;v.;37.0;21
3;adăʹpted;;;;v.;38.0;21
2;āʹdar;;;;n.;39.0;21
1;ădd;L.;;;v.;40.0;21
2;ăʹdder;;;;n.;41.0;21
2;ăʹddĭce;;;;n.;42.0;21
2;ăddĭʹct;L.;;;v.;43.0;21
4;ăʹddĭtăment;L.;;;n.;44.0;21
4;ăddĭʹtion;L.;;;n.;45.0;21
5;ăddĭʹtional;;;;a.;46.0;21
2;ăʹddle;;;;a.;47.0;21
2;ăddrĕʹſs;F.;;;n.;48.0;21
3;ăddūʹcent;L.;;;a.;49.0;21
3;ăddŭʹctors;L.;;;n.;50.0;21
3;ăʹdĕquāte;L.;;;a.;51.0;21
4;ăʹdĕquāt_e_neſs;;;;n.;52.0;21
3;ădfĕʹcted;;;;a.;53.0;21
2;ădhēre;L.;nbSyll>1 et pas d'accent tonic;;v.;54.0;21
3;ădhēʹrĕnce;L.;;;n.;55.0;21
3;ădhēʹrent;L.;;;n.;56.0;21
4;ădhēʹſion;L.;;;n.;57.0;21
3;ădjāʹcent;L.;;;a.;58.0;21
3;ăʹdjĕctive;L.;;;n.;59.0;21
2;adĭeuʹ;F.;;;p.;60.0;21
2;ădjoiʹn;L.;;;v.;61.0;21
3;ădj_o_ŭʹrnment;F.;;;n.;62.0;21
2;ădjŭʹdge;L.;;;v.;63.0;21
6;ădjūdĭcāʹtion;L.;;;n.;64.0;21
2;ăʹdjŭnct;L.;;;n.;65.0;21
2;ădjūʹre;L.;;;v.;66.0;21
2;ădjŭʹſt;F.;;;v.;67.0;21
3;ăʹdjūtant;L.;;;n.;68.0;21
4;ădmĭʹnĭſt_e_r;L.;;;v.;69.0;21
6;ădmĭnĭſtrātion;L.;nbSyll>1 et pas d'accent tonic;;n.;70.0;21
5;ădmĭnĭſtrāʹtor;;;;n.;71.0;21
5;ăʹdmĭnĭſtrāʹtrix;;;;n.;72.0;21
3;ăʹdmĭrăl;L.;;;n.;73.0;21
4;ăʹdmĭrălty;;;;n.;2.0;22
5;ădmĭrāʹtion;L.;;;n.;3.0;22
2;ădmīʹre;L.;;;v.;4.0;22
3;ădmĭʹttănce;L.;;;n.;5.0;22
2;ădmĭʹt;L.;;;v.;6.0;22
3;ădmŏʹnĭſh;L.;;;v.;7.0;22
5;ădmŏnĭʹtion;L.;;;n.;8.0;22
4;ădŏlĕʹſcĕnce;L.;;;n.;9.0;22
4;ădŏʹption;L.;;;n.;10.0;22
4;ădōʹrable;;;;a.;11.0;22
2;ădōʹre;L.;;;v.;12.0;22
2;ădŏʹrn;L.;;;v.;13.0;22
2;ădroiʹt;F.;;;a.;14.0;22
5;ădſcĭtĭʹti_o_us;L.;;;a.;15.0;22
2;ădvăʹnce;F.;;;v.;16.0;22
3;ădvăʹnc_e_ment;F.;;;n.;17.0;22
3;ădvăʹntage;F.;;;n.;18.0;22
2;ăʹdvĕnt;L.;;;n.;19.0;22
5;ădvĕntĭʹti_o_us;L.;;;a.;20.0;22
3;ădvĕʹntŭre;F.;;;n.;21.0;22
4;ădvĕʹntŭr_o_us;;;;a.;22.0;22
2;ăʹdverb;L.;;;n.;23.0;22
4;ăʹdvĕrſăry;L.;;;n.;24.0;22
2;ăʹdvĕrſe;L.;;;a.;25.0;22
4;ădvĕʹrſity;L.;;;n.;26.0;22
2;ădvĕʹrt;L.;;;v.;27.0;22
4;ădvĕʹrtĕncy;;;;n.;28.0;22
3;ădvĕrtĭʹſe;L.;;;v.;29.0;22
2;ădvīʹce;F.;;;n.;30.0;22
2;ădvīʹſe;;;;v.;31.0;22
5;ădūlāʹtion;L.;;;n.;32.0;22
5;ăʹdūlătory;L.;;;a.;33.0;22
2;adŭʹlt;L.;;;a.;34.0;22
4;adŭʹlte˘rāte;L.;;;v.;35.0;22
4;adŭʹlte˘rer;;;;n.;36.0;22
4;adŭʹlte˘reſs;;;;n.;37.0;22
4;adŭʹlte˘ry;L.;;;n.;38.0;22
3;ăʹdvŏcāte;L.;;;n.;39.0;22
3;adʹvȯẇeeʹ;F.;;;n.;40.0;22
3;ădvȯẇſon;;nbSyll>1 et pas d'accent tonic;;n.;41.0;22
2;ădŭʹſt;L.;;;a.;42.0;22
4;ădŭʹſtĭble;;;;a.;43.0;22
3;ăʹdy̆tum;G.;;;n.;44.0;22
3;ænĭʹgma;;;;n.;45.0;22
4;āe˘ʹrĭal;G.;;;a.;46.0;22
4;æthe˘ʹrĭal;G.;;;a.;47.0;22
5;ăffăbĭʹlĭty;L.;;;n.;48.0;22
2;ăffaiʹr;F.;;;n.;49.0;22
2;affe˘ʹct;L.;;;v.;50.0;22
5;ăffĕctāʹtion;L.;;;n.;51.0;22
3;ăffĕʹcted;;;;a.;52.0;22
4;ăffĕʹction;L.;;;n.;53.0;22
5;ăffĕʹctionāte;;;;a.;54.0;22
3;ăffĕʹtto;;;;a.;55.0;22
3;ăffiʹănce;L.;;;n.;56.0;22
4;ăffĭdāʹvit;;;;n.;57.0;22
4;ăffĭʹnĭʹty;L.;;;n.;58.0;22
2;ăffĭrm;L.;nbSyll>1 et pas d'accent tonic;;v.;59.0;22
5;ăffĭrmāʹtion;L.;;;n.;60.0;22
4;ăffĭʹrmătive;L.;;;a.;61.0;22
2;affĭʹx;L.;;;v.;62.0;22
4;ăfflāʹtion;L.;;;n.;63.0;22
2;ăfflĭʹct;L.;;;v.;64.0;22
4;ăfflĭʹction;L.;;;n.;65.0;22
3;ăfflĭʹctive;;;;a.;66.0;22
3;ăfflūĕnce;L.;nbSyll>1 et pas d'accent tonic;;n.;67.0;22
3;ăʹfflūĕnt;L.;;;a.;68.0;22
2;ăʹfflŭx;L.;;;n.;69.0;22
2;ăffoʹrd;;;;v.;70.0;22
2;ăffraiʹd;;;;v.;71.0;22
2;ăffraʹy;F.;;;n.;72.0;22
3;ăʹfrĭcā;;;;n.;73.0;22
2;affrīʹ_gh_t;;;;v.;2.0;23
2;ăffrŏʹnt;F.;;;v.;3.0;23
3;ăffrŏʹntive;;;;a.;4.0;23
4;ăffūʹſion;L.;;;n.;5.0;23
1;ăft;;;;p.;6.0;23
2;ăʹft_e_r;;;;p.;7.0;23
3;ăfternooʹn;;;;n.;8.0;23
2;āʹgā;;;;n.;9.0;23
2;agăʹſt;;;;a.;10.0;23
2;ăʹgate;G.;;;n.;11.0;23
1;āge;;;;n.;12.0;23
3;āʹge˘ncy;L.;;;n.;13.0;23
2;āʹgent;L.;;;n.;14.0;23
4;ăgglŏʹmĕrāte;L.;;;v.;15.0;23
4;ăgglūʹtĭnāte;L.;;;v.;16.0;23
3;ăʹggrăndīze;F.;;;v.;17.0;23
3;ăʹggrăvāte;L.;;;v.;18.0;23
5;ăggrăvāʹtion;L.;;;n.;19.0;23
3;ăʹggrĕgāte;L.;;;v.;20.0;23
2;ăggrĕʹſs;L.;;;v.;21.0;23
3;ăggrĕʹſſor;;;;n.;22.0;23
2;ăggrieʹve;;;;n.;23.0;23
2;ăʹgĭle;L.;;;a.;24.0;23
4;ăgĭʹlĭty;L.;;;n.;25.0;23
3;ăʹgĭo;;;;n.;26.0;23
3;ăgĭʹſtment;L.;;;n.;27.0;23
3;ăʹgĭtāte;L.;;;v.;28.0;23
5;ăgĭtāʹtion;L.;;;n.;29.0;23
4;ăgĭtāʹtor;L.;;;n.;30.0;23
2;ăʹgnail;;;;n.;31.0;23
4;ăgnāʹtion;L.;;;n.;32.0;23
3;ăʹgŏny;G.;;;n.;33.0;23
2;ăgreeʹ;F.;;;v.;34.0;23
4;ăgreeʹable;F.;;;a.;35.0;23
3;ăgreeʹment;;;;n.;36.0;23
4;ăʹgrĭcŭltŭre;L.;;;n.;37.0;23
2;ăgrieʹve;F.;;;v.;38.0;23
2;agrȯu̇ʹnd;;;;a.;39.0;23
2;āʹgūe;F.;;;n.;40.0;23
3;ăʹgūiſh;;;;a.;41.0;23
1;aid;;;;v.;42.0;23
1;ail;;;;v.;43.0;23
1;aim;;;;v.;44.0;23
1;air;;;;n.;45.0;23
3;aiʹrĭneſs;;;;n.;46.0;23
2;aiʹry;;;pas de {POS} indiquée dans le dictionnaire.;;47.0;23
4;ălăbăʹſt_e_r;;;;n.;48.0;23
4;alăʹcrĭty;;;;n.;49.0;23
3;ălāmōʹde;;;;n.;50.0;23
2;alăʹrm;F.;;;n.;51.0;23
2;ălaʹy;;;;n.;52.0;23
3;ăʹlbĭon;L.;;;n.;53.0;23
2;ălcāʹde;;;;n.;54.0;23
3;ăʹlcăhol;;;;n.;55.0;23
4;ăʹlcăhŏlīze;;;;v.;56.0;23
6;ălcălĭzāʹtion;;;;n.;57.0;23
3;ăʹlchymy;;;;n.;58.0;23
3;ăʹlcŏran;;;;n.;59.0;23
2;ăʹlcōve;F.;;;n.;60.0;23
2;ăʹld_e_r;;;;n.;61.0;23
3;ăʹldĕrmăn;;;;n.;62.0;23
1;āle;;;;n.;63.0;23
3;ale-cŏnner;;nbSyll>1 et pas d'accent tonic;;n.;64.0;23
3;ălĕʹcto;;;;n.;65.0;23
6;alĕʹctry̆ŏmăncy;G.;;;n.;66.0;23
3;āʹlĕgăr;;;;n.;67.0;23
2;aʹl_e_hoof;;;;n.;68.0;23
4;alexăʹndrĭne;;;;n.;69.0;23
5;alexĭphăʹrmics;;;;n.;70.0;23
3;ăʹlgĕbrā;;;;n.;71.0;23
4;ălgĕbraʹiſt;;;;n.;72.0;23
3;ăʹlgorĭthm;;;;n.;73.0;23
4;alhŏʹllăntīde;;;;n.;2.0;24
3;ăʹlĭas;L.;;;p.;3.0;24
3;ăʹlĭen;L.;;;n.;4.0;24
4;ăʹlĭenāte;;;;v.;5.0;24
6;ălĭenāʹtion;;;;n.;6.0;24
3;ăʹlĭment;L.;;;n.;7.0;24
5;ălĭmĕʹntary;;;;a.;8.0;24
4;ăʹlĭmŏny;;;;n.;9.0;24
3;ăʹlĭquănt;L.;;;n.;10.0;24
3;ăʹlĭquot;L.;;;n.;11.0;24
4;ălĭſăʹnd_e_rs;;;;n.;12.0;24
3;ăʹlkăhĕſt;;;;n.;13.0;24
3;ăʹlkăly;;;;n.;14.0;24
2;ăllaʹy;F.;;;n.;15.0;24
2;ăllĕʹdge;L.;;;v.;16.0;24
5;ăllēgāʹtion;L.;;;n.;17.0;24
4;ăllĕʹgĭ_a_nce;L.;;;n.;18.0;24
5;ăllēgŏʹrical;G.;;;a.;19.0;24
4;ăllēgorīʹze;;;;v.;20.0;24
4;ăʹllĕgŏry;G.;;;n.;21.0;24
3;ăllēʹgro;;;;n.;22.0;24
4;ăllĕʹvĭāte;L.;;;v.;23.0;24
2;ăʹlley;F.;;;n.;24.0;24
3;ăllīʹance;F.;;;n.;25.0;24
2;ăllīʹ_e_s;F.;;;n.;26.0;24
5;ăllĭgāʹtion;L.;;;n.;27.0;24
4;ăllĭgāʹtor;;;;n.;28.0;24
4;allōʹdĭal;;;;a.;29.0;24
2;allŏʹnge;;;;n.;30.0;24
2;allŏʹt;;;;v.;31.0;24
2;allȯẇ;F.;nbSyll>1 et pas d'accent tonic;;v.;32.0;24
3;allȯẇănce;;nbSyll>1 et pas d'accent tonic;;n.;33.0;24
2;allūʹde;L.;;;v.;34.0;24
2;ăʹllŭm;;;;n.;35.0;24
4;allūʹmĭnāte;F.;;;v.;36.0;24
2;allūre;;nbSyll>1 et pas d'accent tonic;;v.;37.0;24
3;allūʹr_e_ment;;;;n.;38.0;24
4;allūʹſion;L.;;;n.;39.0;24
3;ăʹlmănăc;;;;n.;40.0;24
2;ăʹlmŏnd;;;;n.;41.0;24
3;ăʹlmŏner;;;;n.;42.0;24
1;alms;;;;n.;43.0;24
3;ăʹlŏès;;;;n.;44.0;24
2;alŏʹft;;;;p.;45.0;24
2;alooʹf;;;;p.;46.0;24
4;ălŏʹpĕcy;G.;;;n.;47.0;24
2;alȯu̇d;;nbSyll>1 et pas d'accent tonic;;p.;48.0;24
3;ăʹlphăbĕt;G.;;;n.;49.0;24
5;alphăbĕʹtĭcal;G.;;;a.;50.0;24
2;aʹlt_a_r;;;;n.;51.0;24
2;aʹlt_e_r;L.;;;v.;52.0;24
5;alte˘rāʹtion;L.;;;n.;53.0;24
4;aʹltĕrătives;;;;n.;54.0;24
5;alte˘rcāʹtion;L.;;;n.;55.0;24
3;alte˘ʹrnāte;L.;;;a.;56.0;24
5;alte˘rnāʹtion;L.;;;n.;57.0;24
3;alteʹrnative;;;;n.;58.0;24
5;altĕʹrnătĭvely;;;;p.;59.0;24
4;altĭʹme˘try;L.;;;n.;60.0;24
3;aʹltĭtude;L.;;;n.;61.0;24
2;aʹltŭs;;;;n.;62.0;24
3;alūʹde˘ls;;;;n.;63.0;24
2;ăʹlum;G.;;;n.;64.0;24
2;āmaiʹn;;;;p.;65.0;24
4;amăʹlgămāte;;;;v.;66.0;24
6;amălgămaʹtion;;;;n.;67.0;24
5;amănūĕʹnſis;L.;;;n.;68.0;24
2;amăʹſs;F.;;;v.;69.0;24
4;ăʹmătŏry;L.;;;n.;70.0;24
2;amāʹze;;;;v.;71.0;24
3;aʹmăzons;G.;;;n.;72.0;24
3;ambāʹgès;L.;;;n.;73.0;24
5;ambărvāʹlĭā;L.;;;n.;2.0;25
4;ămbăʹſſădor;F.;;;n.;3.0;25
4;ambăʹſſadreſs;;;;n.;4.0;25
2;ăʹmb_e_r;;;;n.;5.0;25
3;ăʹmbĕrgrēſe;;;;n.;6.0;25
4;ămbĭdĕʹxt_e_r;L.;;;n.;7.0;25
4;ămbĭdĕʹxtr_o_us;L.;;;a.;8.0;25
3;ăʹmbĭĕnt;L.;;;a.;9.0;25
5;ambĭfāʹrĭ_o_us;L.;;;a.;10.0;25
5;ambĭgūʹĭty;L.;;;n.;11.0;25
4;ambĭʹgu_o_us;L.;;;a.;12.0;25
2;ăʹmbit;L.;;;n.;13.0;25
4;ămbĭʹtion;L.;;;n.;14.0;25
4;ămbĭʹti_o_us;;;;a.;15.0;25
2;ăʹmble;F.;;;v.;16.0;25
3;ăʹmblygon;G.;;;n.;17.0;25
5;amblygōʹnĭal;G.;;;a.;18.0;25
4;ămbrōʹsĭā;G.;;;n.;19.0;25
4;ambrŏʹsĭal;;;;a.;20.0;25
5;ămbŭlaʹtion;L.;;;n.;21.0;25
3;ămbŭſcăʹde;F.;;;n.;22.0;25
2;ăʹmel;;;;n.;23.0;25
2;āʹme˘n;;;;p.;24.0;25
4;amēʹnable;F.;;;a.;25.0;25
2;ame˘ʹnd;L.;;;v.;26.0;25
3;ame˘ʹndment;;;;n.;27.0;25
2;ame˘ʹnds;;;;n.;28.0;25
4;amēʹnĭty;L.;;;n.;29.0;25
2;ame˘ʹrce;F.;;;v.;30.0;25
3;ame˘ʹrc_e_ment;;;;n.;31.0;25
4;ămĕʹrĭcā;;;;n.;32.0;25
2;āʹme˘ſs;L.;;;n.;33.0;25
3;ăʹmĕthyſt;G.;;;n.;34.0;25
3;ămfrăʹctus;L.;;;a.;35.0;25
4;ăʹmĭable;L.;;;a.;36.0;25
5;ăʹmĭableneſs;;;;n.;37.0;25
4;amĭăʹntus;G.;;;n.;38.0;25
4;ăʹmĭcable;L.;;;a.;39.0;25
3;āʹmĭty;L.;;;n.;40.0;25
2;ăʹmmā;;;;n.;41.0;25
2;ăʹmmon;;;;n.;42.0;25
5;ămmŭnĭʹtion;F.;;;n.;43.0;25
3;ăʹmnĕſty;G.;;;n.;44.0;25
4;ămŏrōʹſo;L.;;;n.;45.0;25
3;ăʹmŏr_o_us;L.;;;a.;46.0;25
2;āmŏʹrt;F.;;;a.;47.0;25
2;amȯu̇nt;;nbSyll>1 et pas d'accent tonic;;n.;48.0;25
3;amouʹrs;F.;;;n.;49.0;25
3;amouʹsès;;;;n.;50.0;25
4;ămphĭʹbĭ_o_us;G.;;;a.;51.0;25
6;amphĭbŏlōʹgĭcal;G.;;;a.;52.0;25
5;amphĭbŏʹlŏgy;G.;;;n.;53.0;25
4;ămphĭʹſcĭī;G.;;;n.;54.0;25
5;amphĭtheʹatre;G.;;;n.;55.0;25
2;ăʹmple;L.;;;a.;56.0;25
6;amplĭfĭcāʹtion;;;;n.;57.0;25
3;ăʹmplĭfy;L.;;;v.;58.0;25
3;ăʹmplĭtūde;L.;;;n.;59.0;25
5;ampūtāʹtion;L.;;;n.;60.0;25
3;ăʹmūlet;L.;;;n.;61.0;25
2;amūʹſe;F.;;;v.;62.0;25
3;amūʹſement;;;;n.;63.0;25
4;amyʹgdălāte;L.;;;n.;64.0;25
2;ăʹnā;G.;;;n.;65.0;25
4;anăbăʹptiſts;G.;;;n.;66.0;25
4;ăʹnăcăʹmptic;G.;;;a.;67.0;25
5;ănăcăthăʹrtics;G.;;;n.;68.0;25
7;ănăcĕphălæʹŏſis;G.;;;n.;69.0;25
4;anăʹc_h_rŏniſm;G.;;;n.;70.0;25
5;anăcrēŏʹntic;G.;;;n.;71.0;25
3;ăʹnăgrăm;G.;;;n.;72.0;25
5;ănăgrăʹmmătiſt;;;;n.;73.0;25
4;ănălĕʹptic;G.;;;a.;2.0;26
4;analeʹptics;;;;n.;3.0;26
4;ănăʹlŏgy;G.;;;n.;4.0;26
4;ănăʹly̆ſis;G.;;;n.;5.0;26
4;analy̆ʹtic;G.;;;a.;6.0;26
3;ănāʹnā;;;;n.;7.0;26
3;ăʹnărchy;G.;;;n.;8.0;26
4;ănăfaʹrcā;G.;;;n.;9.0;26
5;ănăſtŏmăʹtics;G.;;;n.;10.0;26
4;ănăʹthĕmā;G.;;;n.;11.0;26
5;anăʹthĕmătīze;;;;v.;12.0;26
4;ănăʹtociſm;G.;;;n.;13.0;26
5;ănătŏʹmĭcal;;;;a.;14.0;26
4;ănăʹtŏmiſt;;;;n.;15.0;26
4;ănăʹtŏmy;G.;;;n.;16.0;26
3;ăʹncĕſtors;L.;;;n.;17.0;26
2;ăʹnc_h_or;L.;;;n.;18.0;26
3;ăʹnc_h_ŏrage;;;;n.;19.0;26
3;ăʹnc_h_ŏrīte;G.;;;n.;20.0;26
3;ăʹnchŏvy;;;;n.;21.0;26
3;ăʹnc_h_ylops;G.;;;n.;22.0;26
3;ăʹncĭent;F.;;;a.;23.0;26
4;ăʹncĭently;;;;p.;24.0;26
2;ăʹncle;;;;n.;25.0;26
2;ăndăʹnte;;;;n.;26.0;26
3;ane˘ʹcdŏtes;G.;;;n.;27.0;26
4;ănĕʹmŏny;;;;n.;28.0;26
2;ăʹngel;G.;;;n.;29.0;26
4;ăngĕʹlĭcā;;;;n.;30.0;26
4;ăngĕʹlĭcal;G.;;;a.;31.0;26
2;ăʹnger;;;;n.;32.0;26
2;ăʹngī;;;;n.;33.0;26
3;angīʹnā;L.;;;n.;34.0;26
2;ăʹngle;L.;;;n.;35.0;26
3;ăʹnglīciſm;;;;n.;36.0;26
2;ăʹngred;;;;a.;37.0;26
3;ănguĭʹlles;;;;n.;38.0;26
2;ăʹnguĭſh;L.;;;n.;39.0;26
3;ăʹngŭlar;L.;;;a.;40.0;26
3;ănhēʹlus;L.;;;n.;41.0;26
6;ănĭmădvĕʹrſion;L.;;;n.;42.0;26
4;ănĭmădvĕʹrt;L.;;;v.;43.0;26
3;ăʹnĭmal;L.;;;n.;44.0;26
4;ănĭmaʹlcūle;L.;;;n.;45.0;26
3;ăʹnĭmāte;L.;;;v.;46.0;26
4;ăʹnĭmāted;;;;a.;47.0;26
5;ănĭmŏʹſity;L.;;;n.;48.0;26
3;ăʹnnăliſt;;;;n.;49.0;26
2;ăʹnnăls;L.;;;n.;50.0;26
2;ănneaʹls;;;;v.;51.0;26
3;ănnealʹing;;;;n.;52.0;26
2;ănnĕʹx;L.;;;v.;53.0;26
4;ănnīʹhĭlāte;L.;;;v.;54.0;26
6;annihĭlāʹtion;;;;n.;55.0;26
5;ănnĭvĕʹrſăry;L.;;;n.;56.0;26
5;annŏtāʹtion;L.;;;n.;57.0;26
2;ănnоʹу;F.;;;v.;58.0;26
3;ănnoʹyănce;F.;;;n.;59.0;26
3;ăʹnnūal;L.;;;a.;60.0;26
4;annūʹĭty;L.;;;n.;61.0;26
2;ănnuʹl;F.;;;v.;62.0;26
3;ăʹnnūlar;L.;;;a.;63.0;26
